program-name,optimization-name,execution-time
b3_inline_prim2Add.lisp,Constant Propagation and Peephole,714520.999827073
b3_inline_prim2Add.lisp,Constant propagation,717208.4999183426
b3_inline_prim2Add.lisp,Constant propagation and CSE,758447.0000438159
b3_inline_prim2Add.lisp,Constant propagation and CSE and Peephole,714838.0998842185
b3_inline_prim2Add.lisp,Constant propagation and Inlining and CSE,702985.0999970222
b3_inline_prim2Add.lisp,Constant propagation and Inlining and CSE and Peephole,693791.8999028625
b3_inline_prim2Add.lisp,Constant propagation and Inlining and Peephole,751304.7999964328
b3_inline_prim2Add.lisp,Constant propagation and inlining,704299.1001071641
b3_inline_prim2Add.lisp,Inlining,716839.4000473199
b3_inline_prim2Add.lisp,Inlining and CSE,702804.200045648
b3_inline_prim2Add.lisp,Inlining and CSE and Peephole,703559.6998321125
b3_inline_prim2Add.lisp,Inlining and Peephole,758197.5998618873
b3_inline_prim2Add.lisp,No optimizations,760444.2998854211
b3_inline_prim2Add.lisp,Peephole,706856.8000249797
bench-prog1.lisp,CSE and Peephole,3779977.2999278503
bench-prog1.lisp,Common subexpression elimination,3001745.1997991884
bench-prog1.lisp,Constant Propagation and Peephole,3971431.8001642823
bench-prog1.lisp,Constant propagation,3569664.800306782
bench-prog1.lisp,Constant propagation and CSE,3648345.1000094647
bench-prog1.lisp,Constant propagation and CSE and Peephole,2703877.5999244535
bench-prog1.lisp,Constant propagation and Inlining and CSE,3394139.2997803628
bench-prog1.lisp,Constant propagation and Inlining and CSE and Peephole,3022617.7001168253
bench-prog1.lisp,Constant propagation and Inlining and Peephole,4273074.700176949
bench-prog1.lisp,Constant propagation and inlining,2995221.6002129717
bench-prog1.lisp,Inlining,2942550.900115748
bench-prog1.lisp,Inlining and CSE,3082672.799791908
bench-prog1.lisp,Inlining and CSE and Peephole,2722922.100292635
bench-prog1.lisp,Inlining and Peephole,3428718.4000277193
bench-prog1.lisp,No optimizations,4269044.199827476
bench-prog1.lisp,Peephole,2975241.899912362
bench-prog2.lisp,CSE and Peephole,1278037.8998286324
bench-prog2.lisp,Common subexpression elimination,1201563.7003059965
bench-prog2.lisp,Constant Propagation and Peephole,1196406.600138289
bench-prog2.lisp,Constant propagation,1265242.5997657701
bench-prog2.lisp,Constant propagation and CSE,1249513.7001678813
bench-prog2.lisp,Constant propagation and CSE and Peephole,1290135.9998068074
bench-prog2.lisp,Constant propagation and Inlining and CSE,1184472.3998365225
bench-prog2.lisp,Constant propagation and Inlining and CSE and Peephole,1311871.000143583
bench-prog2.lisp,Constant propagation and Inlining and Peephole,1329074.2001117906
bench-prog2.lisp,Constant propagation and inlining,1216330.2999397274
bench-prog2.lisp,Inlining,1219554.3000416365
bench-prog2.lisp,Inlining and CSE,1216886.399924988
bench-prog2.lisp,Inlining and CSE and Peephole,1278201.1999661336
bench-prog2.lisp,Inlining and Peephole,1242022.7001712192
bench-prog2.lisp,No optimizations,2399033.7998839095
bench-prog2.lisp,Peephole,1211123.6002965597
bench-prog3.lisp,CSE and Peephole,977477.6000995189
bench-prog3.lisp,Common subexpression elimination,1029367.900264333
