program-name,optimization-name,execution-time,normalized-execution-time
big-list-inline.lisp,Peephole (3),988873.5000458836,0.8987788314902898
bm1_const_fold.lisp,CP and Inlining and Peephole (7),708680.0999786647,0.9627598331747607
bm1_const_fold.lisp,Constant Propagation (1),680430.8999562636,0.9243825807279853
bm1_const_fold.lisp,Constant Propagation and Peephole (5),708290.7999574672,0.9622309592534043
bm1_const_fold.lisp,Constant Propagation and inlining (4),689102.7000165195,0.9361634403564526
bm1_const_fold.lisp,Inlining (2),682362.0999966806,0.9270061648088631
bm1_const_fold.lisp,Inlining and Peephole (6),677895.399985573,0.9209380399134905
bm1_const_fold.lisp,No optimizations (0),736092.3000305775,1.0
bm1_const_fold.lisp,Peephole (3),684150.800043426,0.929436159045552
bm2_const_prop.lisp,CP and Inlining and Peephole (7),705054.1999888083,0.9820374777405587
bm2_const_prop.lisp,Constant Propagation (1),710575.1000381133,0.9897272847927872
bm2_const_prop.lisp,Constant Propagation and Peephole (5),1134886.7999913637,1.5807314822069904
bm2_const_prop.lisp,Constant Propagation and inlining (4),800755.3999959782,1.1153352654472029
bm2_const_prop.lisp,Inlining (2),713337.9000151763,0.993575461459233
bm2_const_prop.lisp,Inlining and Peephole (6),690120.2999870293,0.9612367371864148
bm2_const_prop.lisp,No optimizations (0),717950.4000305315,1.0
bm2_const_prop.lisp,Peephole (3),690472.8999870713,0.9617278574643991
bm3_inline.lisp,CP and Inlining and Peephole (7),761069.5000039414,1.056531929384462
bm3_inline.lisp,Constant Propagation (1),692712.0000000286,0.9616366782061421
bm3_inline.lisp,Constant Propagation and Peephole (5),700632.2000052023,0.9726316585496372
bm3_inline.lisp,Constant Propagation and inlining (4),699837.1000008774,0.9715278847922882
bm3_inline.lisp,Inlining (2),720387.0000012103,1.000055667729191
bm3_inline.lisp,Inlining and Peephole (6),786542.800051393,1.091894474916485
bm3_inline.lisp,No optimizations (0),720346.8999250617,1.0
bm3_inline.lisp,Peephole (3),681483.1999690796,0.9460486330127538
bmark1_constant_folding.lisp,CP and Inlining and Peephole (7),707218.0999784905,0.8999183324496143
bmark1_constant_folding.lisp,Constant Propagation (1),727933.399957692,0.9262780625159737
bmark1_constant_folding.lisp,Constant Propagation and Peephole (5),712460.9000129567,0.9065896716935153
bmark1_constant_folding.lisp,Constant Propagation and inlining (4),734529.3999605929,0.9346713167661529
bmark1_constant_folding.lisp,Inlining (2),704160.5000267737,0.8960276087111654
bmark1_constant_folding.lisp,Inlining and Peephole (6),746952.2000064899,0.9504790364809038
bmark1_constant_folding.lisp,No optimizations (0),785869.1999899747,1.0
bmark1_constant_folding.lisp,Peephole (3),705297.6000522904,0.8974745416429194
bmark2_inlining.lisp,CP and Inlining and Peephole (7),714283.4000660514,0.9835815319312582
bmark2_inlining.lisp,Constant Propagation (1),686136.7999590584,0.9448231398850023
bmark2_inlining.lisp,Constant Propagation and Peephole (5),875821.2999964599,1.2060222257284499
bmark2_inlining.lisp,Constant Propagation and inlining (4),708643.6999998114,0.9758155600071281
bmark2_inlining.lisp,Inlining (2),703122.4999991537,0.9682127648781308
bmark2_inlining.lisp,Inlining and Peephole (6),954968.2999931974,1.3150091173422767
bmark2_inlining.lisp,No optimizations (0),726206.5999384504,1.0
bmark2_inlining.lisp,Peephole (3),754028.4000242536,1.0383111363738105
bmark3_inlining_w_lets.lisp,CP and Inlining and Peephole (7),1016477.9000660928,0.8839402521818734
bmark3_inlining_w_lets.lisp,Constant Propagation (1),1155461.1999599729,1.00480164341259
bmark3_inlining_w_lets.lisp,Constant Propagation and Peephole (5),998880.0999963132,0.8686370135866066
bmark3_inlining_w_lets.lisp,Constant Propagation and inlining (4),1015010.599985544,0.8826642720517176
bmark3_inlining_w_lets.lisp,Inlining (2),1538369.4000774994,1.3377827844215446
bmark3_inlining_w_lets.lisp,Inlining and Peephole (6),986682.3999800544,0.8580297608094339
bmark3_inlining_w_lets.lisp,No optimizations (0),1149939.6000544948,1.0
bmark3_inlining_w_lets.lisp,Peephole (3),1075448.8999737075,0.9352220759444607
clashing-inline.lisp,CP and Inlining and Peephole (7),704242.5000690855,0.9476262870839356
clashing-inline.lisp,Constant Propagation (1),691819.4000718358,0.9309098064351374
clashing-inline.lisp,Constant Propagation and Peephole (5),692425.5999365414,0.9317255068891221
clashing-inline.lisp,Constant Propagation and inlining (4),710486.8999704195,0.9560287301244904
clashing-inline.lisp,Inlining (2),735980.7999819168,0.9903332343383292
clashing-inline.lisp,Inlining and Peephole (6),683372.7000412182,0.9195439559115738
clashing-inline.lisp,No optimizations (0),743164.799951046,1.0
clashing-inline.lisp,Peephole (3),774224.1000414651,1.0417932874275868
common-sub.lisp,CP and Inlining and Peephole (7),691612.1000358544,0.814008828081282
common-sub.lisp,Constant Propagation (1),712194.3999663927,0.8382336411590267
common-sub.lisp,Constant Propagation and Peephole (5),687874.6999973373,0.8096100088222401
common-sub.lisp,Constant Propagation and inlining (4),691306.3999490987,0.8136490273066117
common-sub.lisp,Inlining (2),684713.5000498383,0.8058893615627996
common-sub.lisp,Inlining and Peephole (6),705185.30001209,0.8299841191518051
common-sub.lisp,No optimizations (0),849637.0999637293,1.0
common-sub.lisp,Peephole (3),744997.6000316383,0.8768421247888563
common_subexp_after_constant_folding.lisp,CP and Inlining and Peephole (7),1051534.3999941251,1.367687015831228
common_subexp_after_constant_folding.lisp,Constant Propagation (1),712140.3999917675,0.9262513699247873
common_subexp_after_constant_folding.lisp,Constant Propagation and Peephole (5),1047208.19999784,1.3620601076075491
common_subexp_after_constant_folding.lisp,Constant Propagation and inlining (4),911057.2999816212,1.1849743002892545
common_subexp_after_constant_folding.lisp,Inlining (2),728499.1000233276,0.9475284499985991
common_subexp_after_constant_folding.lisp,Inlining and Peephole (6),1051178.699981392,1.3672243716334262
common_subexp_after_constant_folding.lisp,No optimizations (0),768841.3999858312,1.0
common_subexp_after_constant_folding.lisp,Peephole (3),977665.6000212824,1.2716089430658906
compress-let.lisp,CP and Inlining and Peephole (7),707774.2000547005,0.987074404487763
compress-let.lisp,Constant Propagation (1),714272.4999539496,0.9961370483404753
compress-let.lisp,Constant Propagation and Peephole (5),687263.8999993796,0.9584703776506637
compress-let.lisp,Constant Propagation and inlining (4),685765.7999717048,0.9563811008833473
compress-let.lisp,Inlining (2),693677.7999726473,0.9674153158754082
compress-let.lisp,Inlining and Peephole (6),699537.7999373886,0.9755877753618493
compress-let.lisp,No optimizations (0),717042.4000833009,1.0
compress-let.lisp,Peephole (3),710924.0999852773,0.9914673105839866
const-prop-list.lisp,CP and Inlining and Peephole (7),949690.4000116048,0.9165208682607772
const-prop-list.lisp,Constant Propagation (1),1126899.7000115633,1.0875408359237775
const-prop-list.lisp,Constant Propagation and Peephole (5),977727.7000466712,0.943578918517485
const-prop-list.lisp,Constant Propagation and inlining (4),953963.3999338548,0.9206446264863747
const-prop-list.lisp,Inlining (2),996221.5000086871,0.9614267914647328
const-prop-list.lisp,Inlining and Peephole (6),993349.1999618128,0.958654811319588
const-prop-list.lisp,No optimizations (0),1036190.6999605708,1.0
const-prop-list.lisp,Peephole (3),1035683.5000493448,0.9995105148972624
const-prop.lisp,CP and Inlining and Peephole (7),686982.4000204972,0.9266276861190457
const-prop.lisp,Constant Propagation (1),694616.6000489029,0.9369249821014181
const-prop.lisp,Constant Propagation and Peephole (5),719983.9000350039,0.971141349927591
const-prop.lisp,Constant Propagation and inlining (4),687544.4999423053,0.9273858676239827
const-prop.lisp,Inlining (2),683887.2999651358,0.9224528988136927
const-prop.lisp,Inlining and Peephole (6),686599.7000204516,0.9261114859725653
const-prop.lisp,No optimizations (0),741379.1000544734,1.0
const-prop.lisp,Peephole (3),693900.3000297816,0.935958809708551
constant-fold-readnum.lisp,CP and Inlining and Peephole (7),720958.7000033935,0.9733355581747708
constant-fold-readnum.lisp,Constant Propagation (1),716382.1999711217,0.9671570208835542
constant-fold-readnum.lisp,Constant Propagation and Peephole (5),721275.1000224671,0.9737627163312229
constant-fold-readnum.lisp,Constant Propagation and inlining (4),709521.5000845201,0.957894682897254
constant-fold-readnum.lisp,Inlining (2),704028.0999717652,0.9504782779561659
constant-fold-readnum.lisp,Inlining and Peephole (6),716608.5999415372,0.9674626738170358
